Episode 3990, mean 100-episode return -183.85
Episode 1330, mean 100-episode return -740.36
Episode 3330, mean 100-episode return -255.1
Episode 3110, mean 100-episode return -208.79
Episode 4000, mean 100-episode return -182.89
Episode 1070, mean 100-episode return -972.08
Episode 3340, mean 100-episode return -256.22
Episode 1600, mean 100-episode return -588.46
Episode 3120, mean 100-episode return -207.18
Episode 1580, mean 100-episode return -777.93
Episode 4010, mean 100-episode return -179.97
Episode 3130, mean 100-episode return -205.02
Episode 4020, mean 100-episode return -179.21
Episode 3350, mean 100-episode return -262.72
Episode 3140, mean 100-episode return -201.9
Episode 1610, mean 100-episode return -563.17
Episode 4030, mean 100-episode return -179.46
Episode 1480, mean 100-episode return -850.98
Episode 1340, mean 100-episode return -738.02
Episode 3360, mean 100-episode return -262.41
Episode 3150, mean 100-episode return -203.47
Episode 4040, mean 100-episode return -182.09
Episode 3370, mean 100-episode return -262.94
Episode 1080, mean 100-episode return -970.54
Episode 1490, mean 100-episode return -831.03
Episode 4050, mean 100-episode return -186.19
Episode 1590, mean 100-episode return -792.18
Episode 3160, mean 100-episode return -208.05
Episode 1620, mean 100-episode return -560.08
Episode 3380, mean 100-episode return -262.26
Episode 4060, mean 100-episode return -189.33
Episode 3170, mean 100-episode return -209.64
Episode 3390, mean 100-episode return -255.42
Episode 4070, mean 100-episode return -187.88
Episode 1500, mean 100-episode return -776.72
Episode 1350, mean 100-episode return -739.7
Episode 1600, mean 100-episode return -761.96
Episode 3180, mean 100-episode return -211.53
Episode 4080, mean 100-episode return -187.42
Episode 3400, mean 100-episode return -254.68
Episode 1630, mean 100-episode return -570.76
Episode 3190, mean 100-episode return -212.39
Episode 4090, mean 100-episode return -190.2
Episode 3410, mean 100-episode return -251.56
Episode 1090, mean 100-episode return -956.83
Episode 3200, mean 100-episode return -212.23
Episode 4100, mean 100-episode return -190.77
Episode 3420, mean 100-episode return -243.71
Episode 1510, mean 100-episode return -747.17
Episode 4110, mean 100-episode return -189.71
Episode 3210, mean 100-episode return -213.01
Episode 1640, mean 100-episode return -565.37
Episode 1360, mean 100-episode return -751.66
Episode 3430, mean 100-episode return -243.06
Episode 4120, mean 100-episode return -188.94
Episode 3220, mean 100-episode return -213.05
Episode 3230, mean 100-episode return -209.76
Episode 4130, mean 100-episode return -187.5
Episode 3440, mean 100-episode return -242.57
Episode 1610, mean 100-episode return -764.97
Episode 4140, mean 100-episode return -186.73
Episode 3240, mean 100-episode return -211.94
Episode 1650, mean 100-episode return -555.47
Episode 3450, mean 100-episode return -233.56
Episode 1100, mean 100-episode return -954.1
Episode 3250, mean 100-episode return -209.09
Episode 4150, mean 100-episode return -185.83
Episode 1370, mean 100-episode return -740.58
Episode 3460, mean 100-episode return -233.55
Episode 1520, mean 100-episode return -739.7
Episode 3260, mean 100-episode return -202.84
Episode 4160, mean 100-episode return -183.55
Episode 1620, mean 100-episode return -732.21
Episode 3470, mean 100-episode return -233.07
Episode 3270, mean 100-episode return -197.35
Episode 4170, mean 100-episode return -182.94
Episode 1660, mean 100-episode return -546.27
Episode 4180, mean 100-episode return -181.47
Episode 3280, mean 100-episode return -194.45
Episode 3480, mean 100-episode return -235.41
Episode 1630, mean 100-episode return -701.67
Episode 1380, mean 100-episode return -728.83
Episode 4190, mean 100-episode return -178.44
Episode 3290, mean 100-episode return -191.67
Episode 4200, mean 100-episode return -177.59
Episode 3490, mean 100-episode return -245.12
Episode 1110, mean 100-episode return -956.39
Episode 1670, mean 100-episode return -548.48
Episode 3300, mean 100-episode return -191.24
Episode 4210, mean 100-episode return -176.77
Episode 1640, mean 100-episode return -691.32
Episode 3500, mean 100-episode return -243.81
Episode 1530, mean 100-episode return -739.34
Episode 3310, mean 100-episode return -192.24
Episode 1390, mean 100-episode return -701.68
