max_x [-0.3622083] max max 0.5102545213865606
         3341606 function calls (3330980 primitive calls) in 10.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6088    0.007    0.000    0.007    0.000 numerictypes.py:1001(<listcomp>)
      111    0.000    0.000    0.007    0.000 _distn_infrastructure.py:591(__init__)
     3044    0.007    0.000    0.007    0.000 _continuous_distns.py:89(_norm_cdf)
        1    0.000    0.000    0.007    0.007 _minimize.py:8(<module>)
        1    0.000    0.000    0.007    0.007 case.py:1(<module>)
     1184    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.007    0.007 py3k.py:4(<module>)
     1225    0.005    0.000    0.007    0.000 parallel.py:300(__call__)
      133    0.001    0.000    0.007    0.000 abc.py:132(__new__)
    88516    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.006    0.006 offsetbox.py:15(<module>)
    12404    0.006    0.000    0.006    0.000 {method 'startswith' of 'bytes' objects}
      549    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
    26045    0.006    0.000    0.006    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
      150    0.000    0.000    0.006    0.000 cm.py:81(_generate_cmap)
        1    0.000    0.000    0.006    0.006 _backend_tk.py:1(<module>)
       13    0.000    0.000    0.006    0.000 enum.py:604(_convert)
     2855    0.003    0.000    0.006    0.000 inspect.py:2450(__init__)
      635    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
        1    0.000    0.000    0.006    0.006 compressed.py:1(<module>)
        1    0.000    0.000    0.006    0.006 patches.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _store_backends.py:1(<module>)
       64    0.001    0.000    0.006    0.000 colors.py:713(from_list)
        1    0.000    0.000    0.006    0.006 pool.py:11(<module>)
        1    0.000    0.000    0.006    0.006 artist.py:1(<module>)
        1    0.000    0.000    0.006    0.006 lines.py:4(<module>)
        1    0.000    0.000    0.006    0.006 image.py:4(<module>)
     6150    0.006    0.000    0.006    0.000 {built-in method numpy.core.multiarray.result_type}
    36052    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
     1338    0.004    0.000    0.006    0.000 inspect.py:2730(__init__)
        1    0.000    0.000    0.006    0.006 platform.py:10(<module>)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
     5325    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
14409/14405    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
    84/74    0.000    0.000    0.005    0.000 typing.py:676(inner)
     1631    0.002    0.000    0.005    0.000 enum.py:803(__and__)
    24378    0.005    0.000    0.005    0.000 {built-in method numpy.core.umath.geterrobj}
        1    0.000    0.000    0.005    0.005 __init__.py:86(<module>)
        1    0.000    0.000    0.005    0.005 _axes.py:119(Axes)
        1    0.000    0.000    0.005    0.005 mstats_basic.py:4(<module>)
      549    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
       27    0.000    0.000    0.005    0.000 pyparsing.py:2816(__init__)
        1    0.000    0.000    0.005    0.005 executor.py:6(<module>)
        1    0.000    0.000    0.005    0.005 header.py:5(<module>)
        2    0.000    0.000    0.005    0.003 _util.py:1(<module>)
        1    0.000    0.000    0.005    0.005 index_tricks.py:1(<module>)
       13    0.000    0.000    0.005    0.000 _distn_infrastructure.py:2717(_construct_docstrings)
       18    0.002    0.000    0.005    0.000 enum.py:124(__new__)
        1    0.000    0.000    0.005    0.005 _memmapping_reducer.py:3(<module>)
       43    0.000    0.000    0.005    0.000 typing.py:1099(__getitem__)
     1045    0.001    0.000    0.005    0.000 colors.py:150(to_rgba)
       99    0.000    0.000    0.005    0.000 typing.py:133(__new__)
        3    0.000    0.000    0.005    0.002 __init__.py:5(<module>)
        1    0.000    0.000    0.005    0.005 _root.py:7(<module>)
     3044    0.005    0.000    0.005    0.000 {method 'diagonal' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.005    0.000 enum.py:366(_create_)
        1    0.000    0.000    0.005    0.005 backend_bases.py:33(<module>)
        1    0.000    0.000    0.005    0.005 font_manager.py:21(<module>)
       31    0.000    0.000    0.005    0.000 _collections_abc.py:824(update)
       30    0.000    0.000    0.005    0.000 __init__.py:826(__init__)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
        1    0.000    0.000    0.005    0.005 dates.py:134(<module>)
        1    0.000    0.000    0.005    0.005 iterative.py:1(<module>)
        1    0.000    0.000    0.005    0.005 context.py:1(<module>)
      849    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
     9911    0.004    0.000    0.004    0.000 {method 'tostring' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 __init__.py:90(<module>)
     3701    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x9cff80}
     1033    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       38    0.000    0.000    0.004    0.000 _tqdm.py:229(print_status)
        1    0.000    0.000    0.004    0.004 mathtext.py:16(<module>)
      919    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
       40    0.004    0.000    0.004    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     7515    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
       19    0.000    0.000    0.004    0.000 rcsetup.py:825(validate_cycler)
       38    0.000    0.000    0.004    0.000 _tqdm.py:223(fp_write)
        1    0.000    0.000    0.004    0.004 result.py:1(<module>)
       39    0.001    0.000    0.004    0.000 __init__.py:1638(param)
        1    0.000    0.000    0.004    0.004 inspect.py:27(<module>)
        1    0.000    0.000    0.004    0.004 _base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 uuid.py:45(<module>)
        1    0.000    0.000    0.004    0.004 tempfile.py:24(<module>)
        1    0.000    0.000    0.004    0.004 main.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
       11    0.000    0.000    0.004    0.000 pyparsing.py:1630(parseString)
        1    0.000    0.000    0.004    0.004 reduction.py:10(<module>)
      492    0.001    0.000    0.004    0.000 rcsetup.py:358(validate_color)
