C:\dev\Miniconda3\python.exe C:/dev/master-thesis-code/optimize_cmdargs.py
Running: ['python', 'C:\\dev\\npfl122\\labs\\03\\q_learning.py', '--alpha=0.44872917461108064', '--epsilon=0.07597094937369145', '--episodes=1000']
[2018-11-19 15:11:56,566] Making new env: MountainCarLimit1000-v0
Episode 580, mean 100-episode return -579.82
Episode 590, mean 100-episode return -549.82
Episode 600, mean 100-episode return -531.65
Episode 610, mean 100-episode return -514.46
Episode 620, mean 100-episode return -499.37
Episode 630, mean 100-episode return -490.11
Episode 640, mean 100-episode return -463.04
Episode 650, mean 100-episode return -451.02
Episode 660, mean 100-episode return -439.27
Episode 670, mean 100-episode return -436.44
Episode 680, mean 100-episode return -418.16
Episode 690, mean 100-episode return -406.5
Episode 700, mean 100-episode return -391.45
Episode 710, mean 100-episode return -386.97
Episode 720, mean 100-episode return -371.29
Episode 730, mean 100-episode return -364.82
Episode 740, mean 100-episode return -359.62
Episode 750, mean 100-episode return -357.3
Episode 760, mean 100-episode return -355.41
Episode 770, mean 100-episode return -365.59
Episode 780, mean 100-episode return -366.15
Episode 790, mean 100-episode return -370.47
Episode 800, mean 100-episode return -375.98
Episode 810, mean 100-episode return -383.55
Episode 820, mean 100-episode return -383.14
Episode 830, mean 100-episode return -380.97
Episode 840, mean 100-episode return -382.69
Episode 850, mean 100-episode return -384.2
Episode 860, mean 100-episode return -378.17
Episode 870, mean 100-episode return -364.02
Episode 880, mean 100-episode return -379.09
Episode 890, mean 100-episode return -372.53
Episode 900, mean 100-episode return -369.81
Episode 910, mean 100-episode return -371.78
Episode 920, mean 100-episode return -371.1
Episode 930, mean 100-episode return -366.34
Episode 940, mean 100-episode return -360.97
Episode 950, mean 100-episode return -349.52
Episode 960, mean 100-episode return -351.61
Episode 970, mean 100-episode return -350.06
Episode 980, mean 100-episode return -333.08
Episode 990, mean 100-episode return -331.7
Episode 1000, mean 100-episode return -327.78
Episode 1010, mean 100-episode return -312.29
Episode 1020, mean 100-episode return -303.77
Episode 1030, mean 100-episode return -298.43
Episode 1040, mean 100-episode return -294.15
Episode 1050, mean 100-episode return -290.85
Episode 1060, mean 100-episode return -284.55
